# Paper Link : https://www.scopus.com/pages/publications/84896066044

param: nodes:            E        	D      	    P   pmax:=         
74375          	240             1           	        0           
3114           	236             2833.83     	        0           
39             	217             1           	        0           
39             	214             1           	        0           
75868          	225             1           	        0           
75814          	21              1           	        0           
75820          	224             1           	        0           
16              75587           380.9       	        0           
16              75556           553.33      	        0           
73946          	254             1           	        0           
75945          	27              1           	        0           
360            	74260          	3880.43     	        0           
314            	361            	2666.45     	        0           
73744          	361            	4925.76     	        0           
362            	360            	5047.54     	        0           
362            	361            	4702.95     	        0           
362            	73589          	8830.19     	        0           
360            	364            	4664.7      	        0           
364            	74518          	1461.44     	        0           
364            	363            	1651.62     	        0           
363            	318            	3297.85     	        0           
318            	367            	1622.18     	        0           
367            	365            	2203.58     	        0           
365            	366            	1272.4      	        0           
366            	74995          	3533.17     	        0           
366            	75024          	941.1       	        0           
75024          	369            	1647.47     	        0           
369            	368            	545.49      	        0           
368            	367            	3101.05     	        0           
369            	370            	2439.41     	        0           
370            	75010          	1701.58     	        0           
370            	317            	6126.46     	        0           
366            	371            	1209.42     	        0           
371            	323            	493.38      	        0           
372            	75412          	1318.05     	        0           
372            	75450          	1689.59     	        0           
372            	373            	2954.02     	        0           
373            	323            	2120.62     	        0           
372            	75504          	1644.33     	        0           
377            	16              1699.36     	        0           
374            	378            	1017.24     	        0           
378            	377            	2076.9      	        0           
378            	75494          	693.82      	        0           
374            	75316          	1674.84     	        0           
74640          	383            	1745.32     	        0           
383            	86             	57.44       	        0           
382            	381            	1557.92     	        0           
380            	381            	4633.99     	        0           
385            	75278          	166.98      	        0           
385            	380            	3350.28     	        0           
383            	386            	213.87      	        0           
386            	382            	1756.18     	        0           
386            	387            	2292.92     	        0           
387            	74640          	1393.45     	        0           
387            	388            	3389.52     	        0           
388            	74766          	1713.17     	        0           
388            	74669          	2376.1      	        0           
75849          	75924          	3269.13     	        0           
389            	75607          	1367.7      	        0           
389            	75450          	2916.48     	        0           
324            	390            	1219.63     	        0           
390            	325            	1169.42     	        0           
390            	389            	2731.3      	        0           
75898          	392            	2264.11     	        0           
392            	393            	434.17      	        0           
393            	75897          	1900.58     	        0           
393            	76375          	3115.82     	        0           
76419          	392            	3127.93     	        0           
74235          	394            	1275.86     	        0           
394            	74158          	5269.05     	        0           
394            	395            	2238.11     	        0           
395            	74442          	1504.52     	        0           
74821          	397            	1001.6      	        0           
397            	333            	1510.75     	        0           
396            	398            	2373.71     	        0           
398            	397            	3797.67     	        0           
395            	396            	3138.06     	        0           
396            	74566          	1335.1      	        0           
396            	331            	3807.84     	        0           
397            	3100           	6739.7      	        0           
3100           	399            	7819.87     	        0           
399            	75516          	5076.28     	        0           
3102           	75705          	1637.26     	        0           
3102           	399            	5256.82     	        0           
3103           	75790          	831.88      	        0           
3103           	75620          	3239.4      	        0           
3103           	81             	2028.36     	        0           
81             	3104           	6987.34     	        0           
3104           	3105           	806.7       	        0           
3104           	75951          	4013.12     	        0           
75988          	3105           	5608.8      	        0           
76529          	3106           	606.84      	        0           
3106           	76602          	1941.72     	        0           
74375          	74346          	695.97      	        0           
74546          	3107           	1628.31     	        0           
3107           	74510          	1624.1      	        0           
3107           	383            	2944.45     	        0           
74375          	3107           	3650.53     	        0           
361            	3108           	2951.07     	        0           
3108           	74376          	9053.57     	        0           
73959          	3109           	1551.47     	        0           
3109           	3108           	2473.86     	        0           
3109           	74205          	2953.31     	        0           
3109           	3110           	2750.54     	        0           
3110           	73946          	980.44      	        0           
3110           	74184          	3358.35     	        0           
3110           	17              2833.49     	        0           
17              3111            3177.21     	        0           
3111           	74213          	2181.33     	        0           
3111           	3112           	1406.36     	        0           
3112           	74375          	3143.95     	        0           
3112           	74181          	1845.81     	        0           
74181          	3111           	1800.89     	        0           
74375          	3113           	4004.61     	        0           
3113           	3112           	2798.06     	        0           
3115           	3113           	3322.35     	        0           
3114           	3115           	470.66      	        0           
3115           	74179          	4331.69     	        0           
3116           	74444          	351.62      	        0           
3116           	3114           	4201.56     	        0           
73260          	73610          	4323.53     	        0           
72489          	3118           	1601.17     	        0           
3118           	72432          	4200.73     	        0           
3118           	3117           	5629.77     	        0           
3117           	72680          	2469.68     	        0           
3117           	72548          	1616.97     	        0           
3119           	73887          	8311.52     	        0           
3119           	72906          	8015.95     	        0           
3119           	73665          	9276.9      	        0           
395            	22              4468.41     	        0           
396            	238             2822.71     	        0           
3118           	24              1           	        0           
3101           	28              2757.1      	        0           
390            	210             1           	        0           
362            	211             1           	        0           
74376          	212             6392.38     	        0           
81             	223             1           	        0           
3115           	228             4072.33     	        0           
392            	232             1           	        0           
366            	241             1           	        0           
323            	245             1           	        0           
382            	256             1           	        0           
311            	71318          	3391.8      	        0           
311            	7598           	2154.09     	        0           
74714          	237             1           	        0           
75243          	219             1           	        0           
74503          	243             1           	        0           
73750          	332            	1           	        0           
71291          	341            	1           	        0           
71419          	71493          	1861.19     	        0           
75621          	350            	1           	        0           
75849          	355            	6033.28     	        0           
355            	75790          	2271.7      	        0           
3122           	51           	156.7       	        0           
3122           	72549          	7217.68     	        0           
52           	3123           	283.87      	        0           
3123           	72448          	1615.3      	        0           
3123           	72574          	8562.95     	        0           
75538          	213             1           	        0           
75851          	54           	501.16      	        0           
3125           	3106           	11412.68    	        0           
3125           	3105           	3637.05     	        0           
352            	55           	402.03      	        0           
55           	3125           	389.84      	        0           
352            	3104           	3562.92     	        0           
56           	310            	658.04      	        0           
368            	19              318.85      	        0           
19              365            	392.34      	        0           
73610          	111             6692.27     	        0           
111             73665          	826.01      	        0           
74708          	61             	1           	        0           
3100           	3101           	4346.69     	        0           
73665          	242             1           	        0          ; 


param: pipes:     d             C       R :=
1                 0.044        12      120 
2                 0.064        17      120 
3                 0.0808       21      120 
4                 0.104        34      120 
5                 0.117        42      120 
6                 0.141        55      120 
7                 0.159        61      120 
8                 0.207        98      120 
9                 0.225        116     120 
10                0.262        126     120 
11                0.307        146     120 
12                0.384        199     120 
13                0.480        285     120 
14                0.518        334     120 
15                0.622        411     120 
;
